identifiant;ref;annonce;bien;dirname
101600e91e3b84fa;PIL000163;0;1;pinatel
101600e91e3c457d;PIL000323;0;1;pinatel
101600e91e3c630f;PIL000043;0;1;pinatel
101600e91e3c80c6;PIL000340;0;1;pinatel
101600e91e3ca962;PIL000175;0;1;pinatel
101600e91e3cd388;PIL000108;0;1;pinatel
101600e91e3d3652;PIL000345;0;1;pinatel
111600e91e3d6018;PIV000033;1;1;pinatel
111600e91e3d8ef5;PIV000035;1;1;pinatel
115600e91e3db19b;PIV000009;1;5;pinatel
